product_id,product_name,category,subcategory,brand,base_price_2015,rating,is_prime_eligible,weight_kg,launch_year
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,-220641.02,5.0,True,8.69,2016
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,144899.77,3.0,True,0.68,2017
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,144899.77,3.5,True,3.29,2016
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,144899.77,4.5,True,4.83,2019
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,144899.77,5.0,True,9.84,2018
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,165784.17,3.5,False,1.78,2017
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,165784.17,3.5,True,3.09,2016
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,165784.17,4.0,True,8.68,2018
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,165784.17,4.5,True,8.37,2016
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,165784.17,5.0,True,6.98,2017
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,182837.02,3.5,True,8.57,2017
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,182837.02,4.0,True,9.45,2015
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,182837.02,4.5,False,9.03,2015
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,182837.02,4.5,True,2.77,2018
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,182837.02,5.0,True,3.34,2015
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,190469.1,3.0,True,6.5,2017
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,190469.1,3.5,True,9.53,2016
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,190469.1,4.0,False,5.07,2018
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,190469.1,4.0,True,6.7,2015
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,190469.1,4.5,True,7.82,2015
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,190469.1,5.0,False,5.68,2019
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,190469.1,5.0,True,6.1,2019
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,191519.73,3.0,True,1.52,2016
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,191519.73,3.5,True,0.8,2015
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,191519.73,4.0,True,1.74,2018
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,191519.73,4.5,False,8.55,2017
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,191519.73,4.5,True,7.09,2017
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,191519.73,5.0,True,3.52,2018
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,196481.93,3.0,True,3.02,2019
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,196481.93,3.5,True,5.51,2017
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,196481.93,4.0,True,0.74,2017
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,196481.93,4.5,True,8.24,2018
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,196481.93,5.0,True,9.66,2017
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,214572.3,3.5,True,1.21,2015
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,214572.3,4.0,True,2.54,2016
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,214572.3,4.5,False,3.23,2017
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,214572.3,4.5,True,5.79,2016
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,214572.3,5.0,False,8.46,2018
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,214572.3,5.0,True,1.7,2015
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,220641.02,3.0,True,6.02,2018
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,220641.02,3.5,True,8.66,2016
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,220641.02,4.0,False,6.72,2019
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,220641.02,4.0,True,3.03,2017
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,220641.02,4.5,True,3.79,2019
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,220641.02,5.0,False,5.24,2018
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,220641.02,5.0,True,3.65,2016
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,224159.47,3.0,True,6.55,2018
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,224159.47,3.5,True,0.21,2019
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,224159.47,4.0,True,8.44,2015
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,224159.47,4.5,True,6.24,2016
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,224159.47,5.0,False,6.33,2016
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,224159.47,5.0,True,7.61,2019
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,248524.38,3.0,True,9.8,2015
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,248524.38,3.5,True,6.78,2015
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,248524.38,4.0,True,7.96,2015
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,248524.38,4.5,False,3.23,2015
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,248524.38,4.5,True,3.59,2017
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,248524.38,5.0,False,5.06,2017
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,248524.38,5.0,True,7.8,2018
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,258061.46,3.0,True,1.02,2016
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,258061.46,3.5,True,4.75,2019
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,258061.46,4.0,True,0.71,2018
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,258061.46,4.5,True,2.52,2019
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,258061.46,5.0,False,8.94,2016
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,258061.46,5.0,True,0.43,2016
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,2485243.8,5.0,True,0.67,2018
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,16578417.000000002,5.0,True,3.26,2015
PROD_000001,Apple iPhone 6 16GB Black,Electronics,Smartphones,Apple,190469.1,5.0,False,9.59,2017
